iter	Passed	Remaining
0	141	42334
1	146	21823
2	151	14974
3	158	11752
4	164	9678
5	169	8319
6	175	7357
7	180	6594
8	186	6043
9	191	5567
10	197	5185
11	202	4868
12	207	4587
13	213	4360
14	219	4168
15	223	3959
16	228	3804
17	234	3674
18	240	3556
19	246	3449
20	252	3357
21	258	3262
22	263	3173
23	269	3094
24	274	3014
25	279	2948
26	285	2883
27	290	2824
28	296	2767
29	301	2715
30	306	2663
31	310	2601
32	314	2544
33	320	2503
34	325	2461
35	330	2426
36	336	2392
37	341	2356
38	348	2330
39	353	2299
40	359	2270
41	364	2240
42	369	2209
43	374	2181
44	380	2154
45	385	2129
46	392	2111
47	397	2088
48	403	2066
49	409	2046
50	415	2030
51	419	2000
52	426	1985
53	431	1965
54	437	1947
55	443	1933
56	450	1919
57	453	1894
58	460	1882
59	468	1872
60	474	1860
61	481	1847
62	487	1833
63	494	1821
64	500	1808
65	506	1796
66	512	1782
67	518	1768
68	525	1759
69	532	1748
70	539	1738
71	545	1726
72	553	1721
73	559	1708
74	566	1698
75	573	1691
76	580	1679
77	585	1667
78	591	1654
79	596	1641
80	602	1627
81	607	1615
82	612	1602
83	618	1591
84	624	1580
85	630	1567
86	636	1557
87	641	1545
88	647	1534
89	653	1523
90	658	1513
91	664	1503
92	671	1493
93	676	1483
94	682	1472
95	688	1463
96	694	1452
97	699	1442
98	705	1432
99	710	1421
100	716	1412
101	722	1403
102	728	1393
103	734	1384
104	739	1373
105	745	1364
106	751	1355
107	757	1345
108	762	1335
109	769	1328
110	772	1315
111	779	1308
112	786	1300
113	792	1292
114	798	1283
115	806	1278
116	812	1271
117	820	1264
118	825	1255
119	830	1246
120	834	1233
121	837	1222
122	841	1211
123	846	1202
124	853	1194
125	855	1181
126	860	1172
127	867	1165
128	870	1153
129	875	1144
130	880	1136
131	886	1128
132	889	1117
133	892	1105
134	898	1097
135	903	1089
136	906	1078
137	911	1070
138	915	1059
139	920	1052
140	926	1044
141	933	1038
142	935	1027
143	938	1016
144	943	1009
145	950	1002
146	955	994
147	960	986
148	964	977
149	969	969
150	975	962
151	981	955
152	984	945
153	990	938
154	992	928
155	999	922
156	1004	914
157	1009	907
158	1016	901
159	1018	891
160	1024	884
161	1027	874
162	1031	866
163	1036	859
164	1042	852
165	1049	846
166	1052	838
167	1055	829
168	1062	823
169	1066	815
170	1072	809
171	1080	803
172	1087	798
173	1090	789
174	1095	782
175	1098	774
176	1105	768
177	1109	760
178	1112	752
179	1115	743
180	1118	735
181	1121	726
182	1124	718
183	1130	712
184	1133	704
185	1139	698
186	1146	692
187	1149	684
188	1152	676
189	1155	668
190	1162	663
191	1168	657
192	1171	649
193	1174	641
194	1180	635
195	1186	629
196	1189	621
197	1193	614
198	1195	606
199	1198	599
200	1201	591
201	1207	585
202	1212	579
203	1219	573
204	1221	566
205	1224	558
206	1229	552
207	1232	545
208	1235	537
209	1238	530
210	1244	524
211	1247	517
212	1252	511
213	1259	506
214	1268	501
215	1275	496
216	1282	490
217	1288	484
218	1295	479
219	1301	473
220	1308	467
221	1311	460
222	1316	454
223	1323	448
224	1330	443
225	1336	437
226	1342	431
227	1348	425
228	1353	419
229	1356	412
230	1362	407
231	1368	401
232	1375	395
233	1380	389
234	1383	382
235	1389	376
236	1392	370
237	1398	364
238	1404	358
239	1407	351
240	1413	346
241	1418	339
242	1425	334
243	1431	328
244	1434	321
245	1440	316
246	1446	310
247	1451	304
248	1457	298
249	1463	292
250	1466	286
251	1472	280
252	1478	274
253	1483	268
254	1489	262
255	1494	256
256	1500	250
257	1506	245
258	1512	239
259	1517	233
260	1523	227
261	1528	221
262	1533	215
263	1539	209
264	1544	203
265	1549	198
266	1554	192
267	1559	186
268	1564	180
269	1569	174
270	1575	168
271	1581	162
272	1589	157
273	1596	151
274	1602	145
275	1609	139
276	1615	134
277	1623	128
278	1629	122
279	1636	116
280	1643	111
281	1649	105
282	1656	99
283	1663	93
284	1669	87
285	1675	82
286	1681	76
287	1688	70
288	1693	64
289	1697	58
290	1703	52
291	1709	46
292	1716	40
293	1722	35
294	1729	29
295	1736	23
296	1743	17
297	1747	11
298	1754	5
299	1760	0
